CUDA extension not installed.
Starting ...
time 3.10
error 101241.6640625
6 mlp.down_proj
Quantizing ...
time 13.41
error 8298.169921875
7 self_attn.k_proj
Quantizing ...
time 4.23
error 106684.2734375
7 self_attn.v_proj
Quantizing ...
time 3.01
error 47561.0234375
7 self_attn.q_proj
Quantizing ...
time 3.01
error 88991.40625
7 self_attn.o_proj
Quantizing ...
time 3.79
error 1427.869140625
7 mlp.up_proj
Quantizing ...
time 4.19
error 108239.09375
7 mlp.gate_proj
Quantizing ...
time 3.14
error 127026.09375
7 mlp.down_proj
Quantizing ...
time 13.24
error 10906.171875
8 self_attn.k_proj
Quantizing ...
time 4.25
error 99878.953125
8 self_attn.v_proj
Quantizing ...
time 3.08
error 44000.1171875
8 self_attn.q_proj
Quantizing ...
time 3.03
error 86509.3515625
8 self_attn.o_proj
Quantizing ...
time 3.76
error 1964.306640625
8 mlp.up_proj
Quantizing ...
time 4.13
error 123611.7265625
8 mlp.gate_proj
Quantizing ...
time 3.12
error 143417.0625
8 mlp.down_proj
Quantizing ...
time 13.17
error 13315.763671875
9 self_attn.k_proj
Quantizing ...
time 4.22
error 117524.65625
9 self_attn.v_proj
Quantizing ...
time 2.98
error 53068.3125
9 self_attn.q_proj
Quantizing ...
time 2.94
error 105112.9375
9 self_attn.o_proj
Quantizing ...
time 3.77
error 3800.560302734375
9 mlp.up_proj
Quantizing ...
time 4.16
error 136020.75
9 mlp.gate_proj
Quantizing ...
time 3.11
error 153806.90625
9 mlp.down_proj
Quantizing ...
time 13.28
error 15962.802734375
10 self_attn.k_proj
Quantizing ...
time 4.24
error 152096.15625
10 self_attn.v_proj
Quantizing ...
time 2.98
error 69214.9375
10 self_attn.q_proj
Quantizing ...
time 2.95
error 137665.1875
10 self_attn.o_proj
Quantizing ...
time 3.81
error 5294.5458984375
10 mlp.up_proj
Quantizing ...
time 4.13
error 154577.265625
10 mlp.gate_proj
Quantizing ...
time 3.07
error 173184.40625
10 mlp.down_proj
Quantizing ...
time 13.11
error 20543.484375
11 self_attn.k_proj
Quantizing ...
time 4.24
error 162689.078125
11 self_attn.v_proj
Quantizing ...
time 3.02
error 78698.9296875
11 self_attn.q_proj
Quantizing ...
time 3.02
error 187321.875
11 self_attn.o_proj
Quantizing ...
time 3.76
error 6754.6865234375
11 mlp.up_proj
Quantizing ...
time 4.16
error 177575.625
11 mlp.gate_proj
Quantizing ...
time 3.11
error 195506.46875
11 mlp.down_proj
Quantizing ...
time 13.27
error 23564.640625
12 self_attn.k_proj
Quantizing ...
time 4.24
error 181102.40625
12 self_attn.v_proj
Quantizing ...
time 2.93
error 93463.8828125
12 self_attn.q_proj
Quantizing ...
time 2.93
error 212739.28125
12 self_attn.o_proj
Quantizing ...
time 3.77
error 9151.482421875
12 mlp.up_proj
Quantizing ...
time 4.17
error 190530.578125
12 mlp.gate_proj
Quantizing ...
time 3.14
error 206039.71875
12 mlp.down_proj
Quantizing ...
time 13.16
error 26649.109375
13 self_attn.k_proj
Quantizing ...
time 4.25
error 214423.40625
13 self_attn.v_proj
Quantizing ...
time 3.01
error 113961.265625
13 self_attn.q_proj
Quantizing ...
time 3.01
error 237931.1875
13 self_attn.o_proj
Quantizing ...
time 3.73
error 9212.5546875
13 mlp.up_proj
Quantizing ...
time 4.14
error 215523.71875
13 mlp.gate_proj
Quantizing ...
time 3.05
error 231000.59375
13 mlp.down_proj
Quantizing ...
time 13.40
error 28122.8515625
14 self_attn.k_proj
Quantizing ...
time 4.18
error 233314.046875
14 self_attn.v_proj
Quantizing ...
time 3.00
error 140585.03125
14 self_attn.q_proj
Quantizing ...
time 2.93
error 273289.96875
14 self_attn.o_proj
Quantizing ...
time 3.80
error 8833.96484375
14 mlp.up_proj
Quantizing ...
time 4.17
error 232699.6875
14 mlp.gate_proj
Quantizing ...
time 3.09
error 242319.53125
14 mlp.down_proj
Quantizing ...
time 13.20
error 31432.283203125
15 self_attn.k_proj
Quantizing ...
time 4.20
error 243554.5
15 self_attn.v_proj
Quantizing ...
time 3.01
error 133404.78125
15 self_attn.q_proj
Quantizing ...
time 2.97
error 270033.53125
15 self_attn.o_proj
Quantizing ...
time 3.79
error 11803.36328125
15 mlp.up_proj
Quantizing ...
time 4.20
error 238650.09375
15 mlp.gate_proj
Quantizing ...
time 3.14
error 248281.828125
15 mlp.down_proj
Quantizing ...
time 13.29
error 32820.5
16 self_attn.k_proj
Quantizing ...
time 4.26
error 276670.25
16 self_attn.v_proj
Quantizing ...
time 3.02
error 158104.5
16 self_attn.q_proj
Quantizing ...
time 2.92
error 291436.75
16 self_attn.o_proj
Quantizing ...
time 3.75
error 17136.666015625
16 mlp.up_proj
Quantizing ...
time 4.18
error 250426.3125
16 mlp.gate_proj
Quantizing ...
time 3.19
error 255372.71875
16 mlp.down_proj
Quantizing ...
time 13.28
error 36986.4609375
17 self_attn.k_proj
Quantizing ...
time 4.23
error 252812.703125
17 self_attn.v_proj
Quantizing ...
time 2.97
error 162954.140625
17 self_attn.q_proj
Quantizing ...
time 2.99
error 307047.75
17 self_attn.o_proj
Quantizing ...
time 3.76
error 14915.5966796875
17 mlp.up_proj
Quantizing ...
time 4.16
error 262913.75
17 mlp.gate_proj
Quantizing ...
time 3.08
error 269750.25
17 mlp.down_proj
Quantizing ...
time 13.25
error 39639.33984375
18 self_attn.k_proj
Quantizing ...
time 4.25
error 262288.25
18 self_attn.v_proj
Quantizing ...
time 3.05
error 160456.28125
18 self_attn.q_proj
Quantizing ...
time 3.09
error 298777.75
18 self_attn.o_proj
Quantizing ...
time 3.79
error 16779.46875
18 mlp.up_proj
Quantizing ...
time 4.20
error 274681.34375
18 mlp.gate_proj
Quantizing ...
time 3.15
error 277525.0
18 mlp.down_proj
Quantizing ...
time 13.27
error 42861.5546875
19 self_attn.k_proj
Quantizing ...
time 4.27
error 260149.90625
19 self_attn.v_proj
Quantizing ...
time 3.06
error 179670.5
19 self_attn.q_proj
Quantizing ...
time 3.06
error 330201.875
19 self_attn.o_proj
Quantizing ...
time 3.73
error 14828.716796875
19 mlp.up_proj
Quantizing ...
time 4.17
error 284329.21875
19 mlp.gate_proj
Quantizing ...
time 3.10
error 287191.875
19 mlp.down_proj
Quantizing ...
time 13.29
error 45896.8828125
20 self_attn.k_proj
Quantizing ...
time 4.37
error 259079.40625
20 self_attn.v_proj
Quantizing ...
time 2.95
error 173604.96875
20 self_attn.q_proj
Quantizing ...
time 3.00
error 333502.1875
20 self_attn.o_proj
Quantizing ...
time 3.79
error 13541.353515625
20 mlp.up_proj
Quantizing ...
time 4.19
error 292746.9375
20 mlp.gate_proj
Quantizing ...
time 3.07
error 298459.25
20 mlp.down_proj
Quantizing ...
time 13.16
error 47957.7265625
21 self_attn.k_proj
Quantizing ...
time 4.23
error 232008.3125
21 self_attn.v_proj
Quantizing ...
time 2.96
error 147060.21875
21 self_attn.q_proj
Quantizing ...
time 3.00
error 301874.875
21 self_attn.o_proj
Quantizing ...
time 3.81
error 13363.486328125
21 mlp.up_proj
Quantizing ...
time 4.18
error 299408.375
21 mlp.gate_proj
Quantizing ...
time 3.19
error 303922.125
21 mlp.down_proj
Quantizing ...
time 13.29
error 50242.375
22 self_attn.k_proj
Quantizing ...
time 4.17
error 250899.1875
22 self_attn.v_proj
Quantizing ...
time 2.96
error 180613.40625
22 self_attn.q_proj
Quantizing ...
time 2.96
error 339010.1875
22 self_attn.o_proj
Quantizing ...
time 3.79
error 13552.2734375
22 mlp.up_proj
Quantizing ...
time 4.18
error 308704.46875
22 mlp.gate_proj
Quantizing ...
time 3.11
error 315183.96875
22 mlp.down_proj
Quantizing ...
time 13.33
error 53608.8046875
23 self_attn.k_proj
Quantizing ...
time 4.28
error 234668.84375
23 self_attn.v_proj
Quantizing ...
time 3.04
error 158340.8125
23 self_attn.q_proj
Quantizing ...
time 3.03
error 325335.1875
23 self_attn.o_proj
Quantizing ...
time 3.82
error 11897.458984375
23 mlp.up_proj
Quantizing ...
time 4.20
error 322126.65625
23 mlp.gate_proj
Quantizing ...
time 3.15
error 332482.15625
23 mlp.down_proj
Quantizing ...
time 13.35
error 56082.15625
24 self_attn.k_proj
Quantizing ...
time 4.28
error 242556.3125
24 self_attn.v_proj
Quantizing ...
time 3.06
error 169907.625
24 self_attn.q_proj
Quantizing ...
time 3.05
error 353015.0625
24 self_attn.o_proj
Quantizing ...
time 3.83
error 8596.962890625
24 mlp.up_proj
Quantizing ...
time 4.18
error 338344.8125
24 mlp.gate_proj
Quantizing ...
time 3.13
error 352435.1875
24 mlp.down_proj
Quantizing ...
time 13.26
error 57696.53125
25 self_attn.k_proj
Quantizing ...
time 4.17
error 228217.765625
25 self_attn.v_proj
Quantizing ...
time 2.88
error 161476.515625
25 self_attn.q_proj
Quantizing ...
time 2.97
error 350603.03125
25 self_attn.o_proj
Quantizing ...
time 3.67
error 8589.796875
25 mlp.up_proj
Quantizing ...
time 4.09
error 353618.9375
25 mlp.gate_proj
Quantizing ...
time 2.98
error 370517.53125
25 mlp.down_proj
Quantizing ...
time 12.82
error 59196.546875
26 self_attn.k_proj
Quantizing ...
time 4.09
error 263104.3125
26 self_attn.v_proj
Quantizing ...
time 2.90
error 185544.328125
26 self_attn.q_proj
Quantizing ...
time 2.96
error 366964.0625
26 self_attn.o_proj
Quantizing ...
time 3.63
error 11547.29296875
26 mlp.up_proj
Quantizing ...
time 4.11
error 363755.8125
26 mlp.gate_proj
Quantizing ...
time 3.11
error 384850.125
26 mlp.down_proj
Quantizing ...
time 12.81
error 63027.6171875
27 self_attn.k_proj
Quantizing ...
time 4.17
error 212363.6875
27 self_attn.v_proj
Quantizing ...
time 2.85
error 135903.375
27 self_attn.q_proj
Quantizing ...
time 2.87
error 326631.59375
27 self_attn.o_proj
Quantizing ...
time 3.67
error 3951.921630859375
27 mlp.up_proj
Quantizing ...
time 4.03
error 379915.5625
27 mlp.gate_proj
Quantizing ...
time 2.96
error 400484.03125
27 mlp.down_proj
Quantizing ...
time 13.06
error 64051.078125
28 self_attn.k_proj
Quantizing ...
time 4.30
error 219241.375
28 self_attn.v_proj
Quantizing ...
time 3.05
error 150788.984375
28 self_attn.q_proj
Quantizing ...
time 2.94
error 329828.5625
28 self_attn.o_proj
Quantizing ...
time 3.62
error 8159.5849609375
28 mlp.up_proj
Quantizing ...
time 4.01
error 389522.125
28 mlp.gate_proj
Quantizing ...
time 3.11
error 412228.375
28 mlp.down_proj
Quantizing ...
time 12.86
error 68661.78125
29 self_attn.k_proj
Quantizing ...
time 4.13
error 204811.65625
29 self_attn.v_proj
Quantizing ...
time 3.02
error 136201.90625
29 self_attn.q_proj
Quantizing ...
time 2.85
error 290845.09375
29 self_attn.o_proj
Quantizing ...
time 3.74
error 7935.21484375
29 mlp.up_proj
Quantizing ...
time 4.00
error 399994.15625
29 mlp.gate_proj
Quantizing ...
time 2.99
error 426651.25
29 mlp.down_proj
Quantizing ...
time 12.80
error 72531.6875
30 self_attn.k_proj
Quantizing ...
time 4.09
error 264259.375
30 self_attn.v_proj
Quantizing ...
time 2.86
error 191190.28125
30 self_attn.q_proj
Quantizing ...
time 3.02
error 373021.125
30 self_attn.o_proj
Quantizing ...
time 3.62
error 13955.5888671875
30 mlp.up_proj
Quantizing ...
time 4.02
error 406654.5
30 mlp.gate_proj
Quantizing ...
time 3.00
error 432048.46875
30 mlp.down_proj
Quantizing ...
time 13.29
error 76831.765625
31 self_attn.k_proj
Quantizing ...
time 4.08
error 255993.375
31 self_attn.v_proj
Quantizing ...
time 3.02
error 167377.890625
31 self_attn.q_proj
Quantizing ...
time 2.85
error 305088.0625
31 self_attn.o_proj
Quantizing ...
time 3.63
error 19116.458984375
31 mlp.up_proj
Quantizing ...
time 4.05
error 414294.28125
31 mlp.gate_proj
Quantizing ...
time 3.16
error 440603.84375
31 mlp.down_proj
Quantizing ...
time 12.89
error 84352.4375
32 self_attn.k_proj
Quantizing ...
time 4.11
error 297665.0625
32 self_attn.v_proj
Quantizing ...
time 2.87
error 222303.984375
32 self_attn.q_proj
Quantizing ...
time 2.89
error 349739.3125
32 self_attn.o_proj
Quantizing ...
time 3.64
error 24564.98046875
32 mlp.up_proj
Quantizing ...
time 4.01
error 428836.4375
32 mlp.gate_proj
Quantizing ...
time 3.07
error 460634.0625
32 mlp.down_proj
Quantizing ...
time 12.99
error 91950.4375
33 self_attn.k_proj
Quantizing ...
time 4.09
error 304401.40625
33 self_attn.v_proj
Quantizing ...
time 3.09
error 221415.3125
33 self_attn.q_proj
Quantizing ...
time 2.85
error 351933.84375
33 self_attn.o_proj
Quantizing ...
time 3.61
error 21539.80859375
33 mlp.up_proj
Quantizing ...
time 4.11
error 442126.96875
33 mlp.gate_proj
Quantizing ...
time 3.07
error 479765.3125
33 mlp.down_proj
Quantizing ...
time 12.85
error 99848.6171875
34 self_attn.k_proj
Quantizing ...
time 4.07
error 312618.75
34 self_attn.v_proj
Quantizing ...
time 2.84
error 222616.78125
34 self_attn.q_proj
Quantizing ...
time 3.06
error 344712.96875
34 self_attn.o_proj
Quantizing ...
time 3.65
error 29049.28515625
34 mlp.up_proj
Quantizing ...
time 4.03
error 453173.875
34 mlp.gate_proj
Quantizing ...
time 2.98
error 492979.375
34 mlp.down_proj
Quantizing ...
time 12.91
error 108560.578125
35 self_attn.k_proj
Quantizing ...
time 4.13
error 323251.625
35 self_attn.v_proj
Quantizing ...
time 2.93
error 233621.0
35 self_attn.q_proj
Quantizing ...
time 2.86
error 365138.8125
35 self_attn.o_proj
Quantizing ...
time 3.77
error 24290.2265625
35 mlp.up_proj
Quantizing ...
time 4.11
error 459557.0
35 mlp.gate_proj
Quantizing ...
time 3.00
error 509127.5
35 mlp.down_proj
Quantizing ...
time 12.84
error 112678.4453125
36 self_attn.k_proj
Quantizing ...
time 4.11
error 297996.9375
36 self_attn.v_proj
Quantizing ...
time 2.97
error 222846.1875
36 self_attn.q_proj
Quantizing ...
time 2.94
error 356027.96875
36 self_attn.o_proj
Quantizing ...
time 3.65
error 29533.60546875
36 mlp.up_proj
Quantizing ...
time 4.01
error 463693.875
36 mlp.gate_proj
Quantizing ...
time 2.97
error 522613.875
36 mlp.down_proj
Quantizing ...
time 12.87
error 124062.3515625
37 self_attn.k_proj
Quantizing ...
time 4.08
error 280984.40625
37 self_attn.v_proj
Quantizing ...
time 2.85
error 210022.0
37 self_attn.q_proj
Quantizing ...
time 3.08
error 356862.125
37 self_attn.o_proj
Quantizing ...
time 3.64
error 28414.609375
37 mlp.up_proj
Quantizing ...
time 4.06
error 466201.71875
37 mlp.gate_proj
Quantizing ...
time 2.96
error 538265.375
37 mlp.down_proj
Quantizing ...
time 12.85
error 136745.34375
38 self_attn.k_proj
Quantizing ...
time 4.09
error 306259.78125
38 self_attn.v_proj
Quantizing ...
time 2.87
error 238138.96875
38 self_attn.q_proj
Quantizing ...
time 2.96
error 377763.9375
38 self_attn.o_proj
Quantizing ...
time 3.68
error 30581.671875
38 mlp.up_proj
Quantizing ...
time 4.24
error 477876.6875
38 mlp.gate_proj
Quantizing ...
time 3.10
error 560622.0
38 mlp.down_proj
Quantizing ...
time 12.83
error 142947.4375
39 self_attn.k_proj
Quantizing ...
time 4.11
error 281160.6875
39 self_attn.v_proj
Quantizing ...
time 2.85
error 226749.3125
39 self_attn.q_proj
Quantizing ...
time 2.90
error 370760.5
39 self_attn.o_proj
Quantizing ...
time 3.71
error 23070.046875
39 mlp.up_proj
Quantizing ...
time 4.01
error 487920.84375
39 mlp.gate_proj
Quantizing ...
time 2.98
error 584863.375
39 mlp.down_proj
Quantizing ...
time 12.85
error 149922.4375
40 self_attn.k_proj
Quantizing ...
time 4.10
error 278974.0
40 self_attn.v_proj
Quantizing ...
time 2.98
error 210804.5625
40 self_attn.q_proj
Quantizing ...
time 2.84
error 363226.375
40 self_attn.o_proj
Quantizing ...
time 3.64
error 20282.9765625
40 mlp.up_proj
Quantizing ...
time 4.08
error 499838.625
40 mlp.gate_proj
Quantizing ...
time 3.01
error 608130.25
40 mlp.down_proj
Quantizing ...
time 12.85
error 155381.5625
41 self_attn.k_proj
Quantizing ...
time 4.12
error 270088.0625
41 self_attn.v_proj
Quantizing ...
time 2.85
error 206185.203125
41 self_attn.q_proj
Quantizing ...
time 3.07
error 373374.875
41 self_attn.o_proj
Quantizing ...
time 3.68
error 20703.80859375
41 mlp.up_proj
Quantizing ...
time 4.05
error 508669.71875
41 mlp.gate_proj
Quantizing ...
time 3.14
error 629381.75
41 mlp.down_proj
Quantizing ...
time 12.87
error 156362.9375
42 self_attn.k_proj
Quantizing ...
time 4.27
error 265980.3125
42 self_attn.v_proj
Quantizing ...
time 2.86
error 195095.59375
42 self_attn.q_proj
Quantizing ...
time 2.97
error 352885.0625
42 self_attn.o_proj
Quantizing ...
time 3.61
error 19483.90234375
42 mlp.up_proj
Quantizing ...
time 4.02
error 515999.375
42 mlp.gate_proj
Quantizing ...
time 2.99
error 641472.625
42 mlp.down_proj
Quantizing ...
time 12.80
error 161511.28125
43 self_attn.k_proj
Quantizing ...
time 4.08
error 239414.078125
43 self_attn.v_proj
Quantizing ...
time 2.87
error 169337.65625
43 self_attn.q_proj
Quantizing ...
time 2.85
error 316757.4375
43 self_attn.o_proj
Quantizing ...
time 3.63
error 7911.7041015625
43 mlp.up_proj
Quantizing ...
time 4.04
error 530723.125
43 mlp.gate_proj
Quantizing ...
time 3.04
error 664200.625
43 mlp.down_proj
Quantizing ...
time 13.36
error 164721.34375
44 self_attn.k_proj
Quantizing ...
time 4.12
error 228394.21875
44 self_attn.v_proj
Quantizing ...
time 2.93
error 148053.03125
44 self_attn.q_proj
Quantizing ...
time 2.86
error 296388.6875
44 self_attn.o_proj
Quantizing ...
time 3.66
error 8354.671875
44 mlp.up_proj
Quantizing ...
time 4.01
error 543326.5
44 mlp.gate_proj
Quantizing ...
time 3.00
error 682674.75
44 mlp.down_proj
Quantizing ...
time 12.86
error 166594.796875
45 self_attn.k_proj
Quantizing ...
time 4.32
error 223854.625
45 self_attn.v_proj
Quantizing ...
time 2.89
error 147504.171875
45 self_attn.q_proj
Quantizing ...
time 2.95
error 296634.15625
45 self_attn.o_proj
Quantizing ...
time 3.74
error 7100.412109375
45 mlp.up_proj
Quantizing ...
time 4.03
error 548578.625
45 mlp.gate_proj
Quantizing ...
time 2.97
error 688982.1875
45 mlp.down_proj
Quantizing ...
time 12.90
error 168096.125
46 self_attn.k_proj
Quantizing ...
time 4.38
error 220083.03125
46 self_attn.v_proj
Quantizing ...
time 3.08
error 140023.28125
46 self_attn.q_proj
Quantizing ...
time 2.98
error 278890.75
46 self_attn.o_proj
Quantizing ...
time 3.68
error 7927.22998046875
46 mlp.up_proj
Quantizing ...
time 4.12
error 561408.5
46 mlp.gate_proj
Quantizing ...
time 3.00
error 702665.875
46 mlp.down_proj
Quantizing ...
time 12.96
error 168952.28125
47 self_attn.k_proj
Quantizing ...
time 4.11
error 225818.890625
47 self_attn.v_proj
Quantizing ...
time 2.94
error 146110.375
47 self_attn.q_proj
Quantizing ...
time 2.86
error 291011.1875
47 self_attn.o_proj
Quantizing ...
time 3.64
error 10941.80078125
47 mlp.up_proj
Quantizing ...
time 4.04
error 570361.25
47 mlp.gate_proj
Quantizing ...
time 2.95
error 712814.5625
47 mlp.down_proj
Quantizing ...
time 12.81
error 172197.375
48 self_attn.k_proj
Quantizing ...
time 4.29
error 233693.9375
48 self_attn.v_proj
Quantizing ...
time 3.04
error 155106.15625
48 self_attn.q_proj
Quantizing ...
time 3.03
error 303450.5625
48 self_attn.o_proj
Quantizing ...
time 3.75
error 9289.6875
48 mlp.up_proj
Quantizing ...
time 4.17
error 585336.75
48 mlp.gate_proj
Quantizing ...
time 3.08
error 726494.1875
48 mlp.down_proj
Quantizing ...
time 13.19
error 178162.203125
49 self_attn.k_proj
Quantizing ...
time 4.26
error 207420.1875
49 self_attn.v_proj
Quantizing ...
time 3.06
error 112238.953125
49 self_attn.q_proj
Quantizing ...
time 3.07
error 227824.46875
49 self_attn.o_proj
Quantizing ...
time 3.81
error 5085.7353515625
49 mlp.up_proj
Quantizing ...
time 4.23
error 589961.125
49 mlp.gate_proj
Quantizing ...
time 3.16
error 728654.375
49 mlp.down_proj
Quantizing ...
time 13.31
error 177516.046875
50 self_attn.k_proj
Quantizing ...
time 4.26
error 220592.59375
50 self_attn.v_proj
Quantizing ...
time 3.02
error 126860.890625
50 self_attn.q_proj
Quantizing ...
time 3.01
error 244500.046875
50 self_attn.o_proj
Quantizing ...
time 3.75
error 5544.7001953125
50 mlp.up_proj
Quantizing ...
time 4.16
error 605600.9375
50 mlp.gate_proj
Quantizing ...
time 3.09
error 745081.625
50 mlp.down_proj
Quantizing ...
time 13.18
error 180688.65625
51 self_attn.k_proj
Quantizing ...
time 4.26
error 207115.578125
51 self_attn.v_proj
Quantizing ...
time 3.05
error 97158.0
51 self_attn.q_proj
Quantizing ...
time 2.94
error 204660.40625
51 self_attn.o_proj
Quantizing ...
time 3.79
error 2924.07421875
51 mlp.up_proj
Quantizing ...
time 4.20
error 618873.0
51 mlp.gate_proj
Quantizing ...
time 3.12
error 756034.6875
51 mlp.down_proj
Quantizing ...
time 13.21
error 180468.765625
52 self_attn.k_proj
Quantizing ...
time 4.23
error 214851.5
52 self_attn.v_proj
Quantizing ...
time 2.99
error 115685.6953125
52 self_attn.q_proj
Quantizing ...
time 2.98
error 229689.84375
52 self_attn.o_proj
Quantizing ...
time 3.80
error 5043.5244140625
52 mlp.up_proj
Quantizing ...
time 4.19
error 637139.375
52 mlp.gate_proj
Quantizing ...
time 3.11
error 775045.125
52 mlp.down_proj
Quantizing ...
time 13.20
error 187409.21875
53 self_attn.k_proj
Quantizing ...
time 4.27
error 207391.8125
53 self_attn.v_proj
Quantizing ...
time 2.98
error 102663.96875
53 self_attn.q_proj
Quantizing ...
time 2.96
error 215793.71875
53 self_attn.o_proj
Quantizing ...
time 3.77
error 4619.505859375
53 mlp.up_proj
Quantizing ...
time 4.17
error 649578.75
53 mlp.gate_proj
Quantizing ...
time 3.12
error 786677.0
53 mlp.down_proj
Quantizing ...
time 13.32
error 187748.765625
54 self_attn.k_proj
Quantizing ...
time 4.22
error 243335.78125
54 self_attn.v_proj
Quantizing ...
time 3.05
error 144299.4375
54 self_attn.q_proj
Quantizing ...
time 3.04
error 265113.75
54 self_attn.o_proj
Quantizing ...
time 3.79
error 7074.146484375
54 mlp.up_proj
Quantizing ...
time 4.18
error 666590.0625
54 mlp.gate_proj
Quantizing ...
time 3.13
error 801507.8125
54 mlp.down_proj
Quantizing ...
time 13.30
error 194425.09375
55 self_attn.k_proj
Quantizing ...
time 4.27
error 223688.828125
55 self_attn.v_proj
Quantizing ...
time 3.14
error 127801.8046875
55 self_attn.q_proj
Quantizing ...
time 2.96
error 246157.625
55 self_attn.o_proj
Quantizing ...
time 3.78
error 3418.48681640625
55 mlp.up_proj
Quantizing ...
time 4.20
error 685068.625
55 mlp.gate_proj
Quantizing ...
time 3.16
error 820786.25
55 mlp.down_proj
Quantizing ...
time 13.29
error 200419.109375
56 self_attn.k_proj
Quantizing ...
time 4.27
error 212174.09375
56 self_attn.v_proj
Quantizing ...
time 3.04
error 109060.296875
56 self_attn.q_proj
Quantizing ...
time 3.02
error 207823.09375
56 self_attn.o_proj
Quantizing ...
time 3.79
error 3158.7998046875
56 mlp.up_proj
Quantizing ...
time 4.17
error 694068.875
56 mlp.gate_proj
Quantizing ...
time 3.12
error 824762.375
56 mlp.down_proj
Quantizing ...
time 13.28
error 200202.125
57 self_attn.k_proj
Quantizing ...
time 4.26
error 234949.59375
57 self_attn.v_proj
Quantizing ...
time 2.98
error 119832.4609375
57 self_attn.q_proj
Quantizing ...
time 2.96
error 231049.359375
57 self_attn.o_proj
Quantizing ...
time 3.78
error 5085.79296875
57 mlp.up_proj
Quantizing ...
time 4.16
error 715864.375
57 mlp.gate_proj
Quantizing ...
time 3.16
error 848600.0625
57 mlp.down_proj
Quantizing ...
time 13.17
error 207313.75
58 self_attn.k_proj
Quantizing ...
time 4.20
error 186006.78125
58 self_attn.v_proj
Quantizing ...
time 2.89
error 95409.0625
58 self_attn.q_proj
Quantizing ...
time 2.88
error 190938.234375
58 self_attn.o_proj
Quantizing ...
time 3.63
error 3451.0205078125
58 mlp.up_proj
Quantizing ...
time 4.11
error 734006.8125
58 mlp.gate_proj
Quantizing ...
time 3.12
error 865185.1875
58 mlp.down_proj
